item,contract_id,axis,A_is,human_score,llm_score,diff,stratum
AB051,KXMDPRIMARY-05D26-WKIR,manipulation_susceptibility,human,0,2,2,severe
AB052,nhl-2025-26-frank-j-selke-trophy-anthony-cirelli,temporal_precision,llm,0,2,2,severe
AB053,KXNCAAFWINS-26ND-9,edge_case_coverage,human,2,0,-2,severe
AB054,KXSENATEMIR-26-BSMI,manipulation_susceptibility,human,0,2,2,severe
AB055,KXNVPRIMARY-03D26-TROB,source_specification,human,2,0,-2,severe
AB056,lol-bw-su-2026-04-16-game2-any-player-penta-kill,temporal_precision,human,0,2,2,severe
AB057,will-brent-hennrich-advance-to-the-general-election-for-wa-03,manipulation_susceptibility,human,2,0,-2,severe
AB058,KXGOVNYNOMR-26-MLAW,manipulation_susceptibility,human,0,2,2,severe
AB059,KXNCAAFWINS-26ND-9,outcome_concentration,llm,2,0,-2,severe
AB060,will-bitcoin-hit-150k-by-june-30-2026,governing_body_engagement,human,3,2,-1,three_one_apart
AB061,KXJOINCLUB-26OCT02MROGERS-TOT,outcome_concentration,human,3,2,-1,three_one_apart
AB062,KXTRUMPRALLIES-26NOV03-A40,governing_body_engagement,human,3,2,-1,three_one_apart
AB063,KXSPACEXMARS-30,outcome_concentration,llm,3,2,-1,three_one_apart
AB064,KXNYPRIMARY-06D26-YXIO,source_quality,llm,2,0,-2,severe
AB065,KXMLBDEBUT-EQUINTERO-29NOV01,outcome_concentration,llm,2,0,-2,severe
AB066,KXRANKLISTGOOGLESEARCHTOP5-26DEC-SAV,outcome_concentration,human,0,2,2,severe
AB067,will-aljamain-sterling-be-the-ufc-featherweight-champion-on-december-31-2026,outcome_concentration,llm,3,2,-1,three_one_apart
AB068,will-openai-launch-a-new-consumer-hardware-product-by-december-31-2026,outcome_concentration,llm,3,2,-1,three_one_apart
AB069,KXNFLSEASONPASSYDS-27C4500-TSHOUGH6,governing_body_engagement,llm,2,0,-2,severe
AB070,KXIMOCOUNTRY-26-US,outcome_concentration,human,2,0,-2,severe
AB071,will-any-2026-fifa-world-cup-game-scheduled-in-the-us-be-relocated-abroad,manipulation_susceptibility,human,2,3,1,three_one_apart
AB072,will-any-new-token-launched-on-pumpfun-be-listed-on-a-major-cex-in-2026,predicate_ambiguity,human,2,0,-2,severe
AB073,KXWCGROUPBOTTOM-26B-SUI,governing_body_engagement,human,2,0,-2,severe
AB074,will-mary-peltola-win-the-alaska-senate-race-in-2026,manipulation_susceptibility,llm,2,0,-2,severe
AB075,will-trump-endorse-any-candidate-for-president-before-2027,governing_body_engagement,llm,3,2,-1,three_one_apart
AB076,will-the-us-30-year-fixed-rate-mortgage-hit-5pt70-low-by-december-31-2026,headline_rules_alignment,human,2,0,-2,severe
AB077,KXMLBWINS-CLE-26-T95,edge_case_coverage,human,3,0,-3,severe
AB078,KXROBOTAXIAREA-26DEC-NV,manipulation_susceptibility,llm,3,2,-1,three_one_apart
AB079,katy-perry-and-justin-trudeau-engaged-by-end-of-2026,predicate_ambiguity,llm,0,2,2,severe
AB080,KXTOPARTISTTHIRD-26-WEE,source_quality,human,2,0,-2,severe
AB081,will-trump-sell-10k-25k-gold-cards-in-2026,headline_rules_alignment,llm,2,0,-2,severe
AB082,will-liv-golf-announce-shutdown-in-2026,source_quality,human,0,2,2,severe
AB083,KXARTISTVS-PLUMAVSJNRH26JUN04-PLUMA,outcome_concentration,human,0,2,2,severe
AB084,KXTESLAROADSTER-27,governing_body_engagement,human,3,1,-2,severe
AB085,KXCAPRIMARY-21FIRST26-LRIO,governing_body_engagement,human,2,0,-2,severe
AB086,KXIAPRIMARY-01R26-MMIL,governing_body_engagement,human,3,1,-2,severe
AB087,israel-x-turkey-military-clash-before-2027,predicate_ambiguity,human,2,0,-2,severe
AB088,poilievre-out-as-leader-of-conservatives-before-2027,manipulation_susceptibility,human,2,3,1,three_one_apart
AB089,ukraine-signs-peace-deal-with-russia-before-2027,governing_body_engagement,llm,3,2,-1,three_one_apart
AB090,israel-x-hezbollah-permanent-peace-deal-by-may-31-2026,predicate_ambiguity,human,2,0,-2,severe
AB091,NYTOAI-27DEC31,manipulation_susceptibility,human,2,0,-2,severe
AB092,KXATTYGENIL-26-R,edge_case_coverage,human,2,0,-2,severe
AB093,KXNFPROD-27MAR04-T3,source_specification,llm,2,0,-2,severe
AB094,KXRYDERCUPCAPTAIN-2027EUR-TBJO,outcome_concentration,human,3,2,-1,three_one_apart
AB095,KXUSGASCPI-26JUN10-T379,governing_body_engagement,human,2,0,-2,severe
AB096,KXNVPRIMARY-03D26-TROB,source_quality,human,2,0,-2,severe
AB097,dota2-l1ga-nemiga-2026-04-13-game1-first-blood,outcome_concentration,llm,3,2,-1,three_one_apart
AB098,will-ukraine-agree-to-give-up-the-rest-of-donbas-before-2027,outcome_concentration,llm,3,1,-2,severe
AB099,KXBBCHARTPOSITIONSONG-26JUN06GOL-9,source_specification,llm,2,0,-2,severe
AB100,KXGOVMDNOMR-26-SHER,source_quality,llm,2,0,-2,severe
AB101,KXHIGHPHIL-26JUN01-T82,edge_case_coverage,human,2,0,-2,severe
AB102,KXSENATEGAR-26-DDOO,source_quality,llm,2,0,-2,severe
AB103,KXGOVNYNOMR-26-MLAW,source_specification,llm,2,0,-2,severe
AB104,will-russia-capture-all-of-kupiansk-by-june-30,manipulation_susceptibility,human,3,1,-2,severe
AB105,KXNVPRIMARY-03D26-TROB,governing_body_engagement,human,3,1,-2,severe
AB106,KXHELLCAT-27-CAT,governing_body_engagement,llm,3,2,-1,three_one_apart
AB107,will-howard-lutnick-leave-the-trump-administration-before-2027,outcome_concentration,human,2,3,1,three_one_apart
AB108,NYTOAI-27DEC31,predicate_ambiguity,human,2,0,-2,severe
AB109,KXGOVPARTYAK-26-R,edge_case_coverage,human,2,0,-2,severe
AB110,KXMLBWINS-CLE-26-T95,outcome_concentration,llm,2,0,-2,severe
AB111,KXCMG-26JULCOMP-7.0,governing_body_engagement,llm,3,1,-2,severe
AB112,will-qfex-launch-a-token-by-september-30-2027,governing_body_engagement,llm,3,2,-1,three_one_apart
AB113,cs2-wing-wave-2026-04-18-game1-odd-even-total-kills,outcome_concentration,human,0,2,2,severe
AB114,KXMDPRIMARY-05D26-WKIR,source_specification,human,2,0,-2,severe
AB115,will-howard-lutnick-leave-the-trump-administration-before-2027,manipulation_susceptibility,human,0,3,3,severe
AB116,KXSWIFTKELCEWEDDINGLOCATION-30-TEN,manipulation_susceptibility,llm,3,2,-1,three_one_apart
AB117,KXCANHOUSTART-27JAN182-T300,governing_body_engagement,llm,2,0,-2,severe
AB118,will-china-unban-bitcoin-by-2027,outcome_concentration,human,1,3,2,severe
AB119,KXIAPRIMARY-01R26-MMIL,source_specification,human,2,0,-2,severe
AB120,trump-out-as-president-by-june-30,outcome_concentration,llm,3,2,-1,three_one_apart
AB121,KXNYPRIMARY-06D26-YXIO,source_specification,human,2,0,-2,severe
AB122,KXATTYGENTX-26-R,manipulation_susceptibility,human,2,0,-2,severe
AB123,KXSANCTIONRUSSIA-26JAN01-27,predicate_ambiguity,human,2,0,-2,severe
AB124,will-any-country-leave-nato-by-june-30-2026,edge_case_coverage,human,0,2,2,severe
AB125,will-trump-endorse-any-candidate-for-president-before-2027,edge_case_coverage,human,2,3,1,three_one_apart
AB126,will-brent-hennrich-advance-to-the-general-election-for-wa-03,outcome_concentration,llm,3,0,-3,severe
AB127,openai-receives-federal-backstop-for-infrastructure-before-july,manipulation_susceptibility,llm,0,2,2,severe
AB128,will-renan-santos-win-the-first-round-of-the-2026-brazilian-presidential-election,manipulation_susceptibility,human,2,0,-2,severe
AB129,will-mary-peltola-win-the-alaska-senate-race-in-2026,outcome_concentration,human,3,0,-3,severe
AB130,KXEMMYDSACTR-26SEP14-TIE,governing_body_engagement,llm,2,0,-2,severe
AB131,KXGRAMMYNOMAOTY-69-DAN,governing_body_engagement,human,2,0,-2,severe
AB132,will-gabriel-fernando-indi-win-the-2025-guinea-bissau-presidential-election,outcome_concentration,llm,2,0,-2,severe
AB133,KXWNBACCUP-26-WSH,outcome_concentration,human,2,0,-2,severe
AB134,KXNEXTTEAMMLB-27ARUTSCHMAN-WAS,outcome_concentration,human,3,2,-1,three_one_apart
AB135,KXNEWDRUGAPPNTLA-LONV-27JAN01,outcome_concentration,llm,3,2,-1,three_one_apart
AB136,will-bukayo-saka-be-the-20252026-top-ucl-goal-scorer,temporal_precision,human,0,2,2,severe
AB137,will-bernie-endorse-antonio-delgado-for-ny-gov-by-nov-2-2026-et,source_quality,human,0,2,2,severe
AB138,will-the-vegas-golden-knights-win-the-2026-nhl-stanley-cup,temporal_precision,llm,0,2,2,severe
AB139,will-trump-and-putin-not-meet-315-857-437-514,manipulation_susceptibility,human,0,2,2,severe
AB140,us-agrees-to-a-new-trade-deal-with-israel-before-2027,headline_rules_alignment,llm,2,0,-2,severe
AB141,sol-updown-5m-1766163000,governing_body_engagement,llm,3,1,-2,severe
AB142,will-bernie-endorse-antonio-delgado-for-ny-gov-by-nov-2-2026-et,outcome_concentration,human,2,3,1,three_one_apart
AB143,will-waymo-operate-in-8-cities-on-june-30-2026,source_quality,human,2,0,-2,severe
AB144,KXUSRETAIL-26JUN17-T1.4,source_quality,human,3,1,-2,severe
AB145,israel-x-hamas-ceasefire-phase-ii-by-june-30,governing_body_engagement,human,3,2,-1,three_one_apart
AB146,will-zelenskyy-and-putin-meet-next-in-china,governing_body_engagement,llm,2,3,1,three_one_apart
AB147,INDIACLIMATE-30,edge_case_coverage,llm,3,2,-1,three_one_apart
AB148,KXRANKLISTGOOGLESEARCHTOP5-26DEC-SAV,source_quality,human,3,0,-3,severe
AB149,KXLOVEISLANDUSARANK-26AUG31RTOP3-VAZA,governing_body_engagement,llm,3,1,-2,severe
AB150,israel-x-hamas-ceasefire-cancelled-by-june-30,governing_body_engagement,human,3,2,-1,three_one_apart
AB151,will-eric-barlow-win-the-2026-wyoming-governor-republican-primary-election,manipulation_susceptibility,llm,2,0,-2,severe
AB152,KXSENATEIAR-26-PGRA,manipulation_susceptibility,llm,0,2,2,severe
AB153,will-microstrategy-announce-bankruptcy-before-2027-666,manipulation_susceptibility,llm,0,3,3,severe
AB154,will-milady-floor-price-reach-2-eth-before-2027,edge_case_coverage,human,3,1,-2,severe
AB155,KXNFLSEASONPASSYDS-27C3000-TSHOUGH6,outcome_concentration,human,2,0,-2,severe
AB156,KXNBARETIRE-KIRVING11-3031,governing_body_engagement,llm,0,2,2,severe
AB157,us-agrees-to-a-new-trade-deal-with-israel-before-2027,predicate_ambiguity,llm,2,0,-2,severe
AB158,will-bernie-endorse-antonio-delgado-for-ny-gov-by-nov-2-2026-et,governing_body_engagement,human,2,3,1,three_one_apart
AB159,KXSENATEGAR-26-DDOO,source_specification,llm,2,0,-2,severe
AB160,KXGOVMDNOMR-26-SHER,source_specification,human,2,0,-2,severe
AB161,will-renan-santos-win-the-first-round-of-the-2026-brazilian-presidential-election,headline_rules_alignment,llm,2,0,-2,severe
AB162,KXSQUASHMATCH-26JUN02ASSEAI-EAI,source_quality,human,2,0,-2,severe
AB163,KXTRUMPRALLIES-26NOV03-A40,outcome_concentration,human,3,2,-1,three_one_apart
AB164,KXBBCHARTPOSITIONSONG-26JUN06GOL-9,source_quality,human,3,0,-3,severe
AB165,will-liv-golf-announce-shutdown-in-2026,manipulation_susceptibility,llm,2,3,1,three_one_apart
AB166,will-qfex-launch-a-token-by-september-30-2027,outcome_concentration,human,3,2,-1,three_one_apart
AB167,KXRANKLISTGOOGLESEARCHTOP5-26DEC-SAV,source_specification,human,2,0,-2,severe
AB168,KXSENATEIAR-26-PGRA,source_specification,llm,2,0,-2,severe
AB169,KXDEGDPQOQF-26JUL30-T0.9,source_quality,human,3,0,-3,severe
AB170,KXDECLAREPRESFIRSTD-28NOV01-WMOO,headline_rules_alignment,llm,0,2,2,severe
AB171,standx-fdv-above-1b-one-day-after-launch-758-887-458-572-867,predicate_ambiguity,llm,2,0,-2,severe
AB172,POWER-28-RH-RS-RP,governing_body_engagement,llm,2,0,-2,severe
AB173,KXIAPRIMARY-01R26-MMIL,source_quality,human,2,0,-2,severe
AB174,KXGOVMINOMR-26-MR,manipulation_susceptibility,llm,0,2,2,severe
AB175,KXLLM1-26JUN06-XAI,predicate_ambiguity,human,2,0,-2,severe
AB176,KXF1CONSTRUCTORS-26-WIL,outcome_concentration,llm,2,0,-2,severe
AB177,will-bogdan-guskov-be-the-ufc-light-heavyweight-champion-on-december-31-2026,outcome_concentration,llm,3,2,-1,three_one_apart
AB178,KXGOVMINOMR-26-MR,governing_body_engagement,llm,3,1,-2,severe
AB179,KXCTPRIMARY-03R26-RIRI,source_specification,llm,2,0,-2,severe
AB180,fed-abolished-before-2027,edge_case_coverage,llm,3,2,-1,three_one_apart
AB181,KXDECLAREPRESFIRSTD-28NOV01-WMOO,outcome_concentration,llm,3,2,-1,three_one_apart
AB182,will-china-gdp-growth-in-q2-2026-be-between-4pt6-and-4pt9,source_quality,human,2,0,-2,severe
AB183,KXMDPRIMARY-05D26-WKIR,source_quality,llm,2,0,-2,severe
AB184,ruben-gallego-out-as-us-senator-by-may-31,manipulation_susceptibility,human,1,3,2,severe
AB185,KXPRICEINCREASECLAUDE-26,governing_body_engagement,human,3,1,-2,severe
AB186,will-cryptopunks-floor-price-reach-50-eth-before-2027,predicate_ambiguity,llm,2,0,-2,severe
AB187,meek-mill-gets-y-combinator-funding-by-june-30,governing_body_engagement,llm,3,2,-1,three_one_apart
AB188,KXTRUMPRALLIES-26NOV03-A40,source_quality,llm,3,2,-1,three_one_apart
AB189,will-zelenskyy-and-putin-meet-next-in-china,manipulation_susceptibility,human,0,2,2,severe
AB190,KXLLM1-26JUN06-XAI,edge_case_coverage,llm,2,0,-2,severe
AB191,KXKXMOVIEDELAYBATMANPT2-27DEC31,governing_body_engagement,llm,2,3,1,three_one_apart
AB192,will-liv-golf-announce-shutdown-in-2026,outcome_concentration,llm,2,3,1,three_one_apart
AB193,KXPRICEINCREASESPOTIFY-26B,governing_body_engagement,llm,3,1,-2,severe
AB194,KXMLBDEBUT-EQUINTERO-29NOV01,governing_body_engagement,human,2,0,-2,severe
AB195,KXPRIMARYMOV-GAPRIMARY10R26-RMIL-P7,governing_body_engagement,human,2,0,-2,severe
AB196,lol-tl2-fly-2026-04-14-game3-any-player-quadra-kill,temporal_precision,llm,0,2,2,severe
AB197,KXCTPRIMARY-03R26-RIRI,governing_body_engagement,llm,3,1,-2,severe
AB198,KXGOVNYNOMR-26-MLAW,source_quality,human,2,0,-2,severe
AB199,will-ukraine-agree-to-give-up-the-rest-of-donbas-before-2027,governing_body_engagement,llm,3,2,-1,three_one_apart
AB200,KXSHOWENDSIMPSONS-30,source_specification,human,2,0,-2,severe
AB201,KXSENATEMIR-26-BSMI,governing_body_engagement,human,3,1,-2,severe
AB202,will-any-2026-fifa-world-cup-game-scheduled-in-the-us-be-relocated-abroad,outcome_concentration,llm,2,3,1,three_one_apart
AB203,NYTOAI-27DEC31,edge_case_coverage,llm,2,0,-2,severe
AB204,KXNCAAMBWINS-26KU-27,outcome_concentration,human,2,0,-2,severe
AB205,will-qfex-launch-a-token-by-september-30-2027,predicate_ambiguity,llm,2,0,-2,severe
AB206,will-donald-trump-visit-ukraine-in-2026,manipulation_susceptibility,human,0,2,2,severe
AB207,will-renan-santos-win-the-first-round-of-the-2026-brazilian-presidential-election,outcome_concentration,human,3,0,-3,severe
AB208,KXSENATEMIR-26-BSMI,source_quality,human,2,0,-2,severe
AB209,KXSENATEGAR-26-DDOO,governing_body_engagement,human,3,1,-2,severe
AB210,us-agrees-to-a-new-trade-deal-with-israel-before-2027,governing_body_engagement,human,3,2,-1,three_one_apart
AB211,KXCTPRIMARY-03R26-RIRI,manipulation_susceptibility,llm,0,2,2,severe
AB212,lol-ly-fly-2026-04-21-game2-both-teams-slay-baron,outcome_concentration,llm,0,2,2,severe
AB213,KXNYPRIMARY-06D26-YXIO,governing_body_engagement,human,3,1,-2,severe
AB214,lol-tl2-fly-2026-04-14-game3-any-player-quadra-kill,outcome_concentration,llm,0,2,2,severe
AB215,standx-fdv-above-1b-one-day-after-launch-758-887-458-572-867,governing_body_engagement,human,3,2,-1,three_one_apart
AB216,israel-x-hamas-ceasefire-cancelled-by-june-30,outcome_concentration,human,3,2,-1,three_one_apart
AB217,KXGOVNYNOMR-26-MLAW,governing_body_engagement,human,3,0,-3,severe
AB218,KXTOPARTISTTHIRD-26-WEE,outcome_concentration,human,0,2,2,severe
AB219,KXPRIMARYPLACE-MAYORLA26-2-SPRA,governing_body_engagement,llm,2,0,-2,severe
AB220,KXIRSCOLLECT-26,edge_case_coverage,llm,2,0,-2,severe
AB221,KXBLUESPACEX-30,edge_case_coverage,llm,3,1,-2,severe
AB222,KXBESTLLMCHINA-27,edge_case_coverage,human,2,0,-2,severe
AB223,KXGOVPARTYAK-26-R,source_quality,llm,2,0,-2,severe
AB224,lol-ly-fly-2026-04-21-game2-both-teams-slay-baron,temporal_precision,llm,0,2,2,severe
AB225,will-bukayo-saka-be-the-20252026-top-ucl-goal-scorer,outcome_concentration,llm,2,0,-2,severe
AB226,KXARTISTCOLLABTHUGANDGUNNA-30-2030,manipulation_susceptibility,human,3,2,-1,three_one_apart
AB227,will-milady-floor-price-reach-2-eth-before-2027,manipulation_susceptibility,human,3,2,-1,three_one_apart
AB228,KXMLBWINS-CLE-26-T95,source_specification,llm,3,0,-3,severe
AB229,KXIAPRIMARY-01R26-MMIL,manipulation_susceptibility,human,0,2,2,severe
AB230,USCLIMATE-2030,edge_case_coverage,human,2,0,-2,severe
AB231,KXNVPRIMARY-03D26-TROB,manipulation_susceptibility,human,0,2,2,severe
AB232,KXTAYLORSWIFTWEDDING-30JAN01-EMM,outcome_concentration,human,3,2,-1,three_one_apart
AB233,KXCAPRIMARY-21FIRST26-LRIO,outcome_concentration,human,2,0,-2,severe
AB234,KXFDAAPPROVE-MDMA-32JAN01,outcome_concentration,human,2,0,-2,severe
AB235,will-trump-be-impeached-by-june-30,source_quality,llm,0,2,2,severe
AB236,zohran-mamdani-citizenship-revoked-before-2027,manipulation_susceptibility,llm,0,2,2,severe
AB237,sol-updown-5m-1768911600,manipulation_susceptibility,llm,3,2,-1,three_one_apart
AB238,KXCTPRIMARY-03R26-RIRI,source_quality,llm,2,0,-2,severe
AB239,will-brent-hennrich-advance-to-the-general-election-for-wa-03,source_quality,llm,2,0,-2,severe
AB240,cricpsl-kar-hyd-2026-04-22-toss-match-double-kar,outcome_concentration,llm,0,2,2,severe
AB241,KXHMONTHRANGE-26JUN-T1.30,edge_case_coverage,human,2,0,-2,severe
AB242,INDIACLIMATE-30,source_specification,llm,2,0,-2,severe
AB243,KXMIDTERMVOTETURN-OR01-420000,governing_body_engagement,llm,3,1,-2,severe
AB244,will-trump-and-putin-not-meet-315-857-437-514,governing_body_engagement,llm,2,3,1,three_one_apart
AB245,will-eric-barlow-win-the-2026-wyoming-governor-republican-primary-election,outcome_concentration,human,3,0,-3,severe
AB246,will-trump-sell-10k-25k-gold-cards-in-2026,source_specification,llm,3,1,-2,severe
AB247,KXHOUSERACE-NY25-26-R,governing_body_engagement,human,2,0,-2,severe
AB248,KXSHOWENDSIMPSONS-30,governing_body_engagement,human,3,1,-2,severe
AB249,will-lighter-reach-4-before-2027,outcome_concentration,llm,3,2,-1,three_one_apart
AB250,will-any-new-token-launched-on-pumpfun-be-listed-on-a-major-cex-in-2026,governing_body_engagement,llm,3,2,-1,three_one_apart
AB251,KXMLBDEBUT-EQUINTERO-29NOV01,manipulation_susceptibility,human,2,0,-2,severe
AB252,KXMLBWINS-CLE-26-T95,governing_body_engagement,llm,3,2,-1,three_one_apart
AB253,KXSOLAR-26-55,edge_case_coverage,human,2,0,-2,severe
AB254,KXGOVMDNOMR-26-SHER,governing_body_engagement,llm,3,1,-2,severe
AB255,HOUSEVA2-26-R,governing_body_engagement,human,2,0,-2,severe
AB256,KXPRIMARYPLACE-MAYORLA26-2-SPRA,outcome_concentration,human,2,0,-2,severe
AB257,KXSENATEIAR-26-PGRA,governing_body_engagement,llm,3,1,-2,severe
AB258,KXGOVMINOMR-26-MR,source_quality,llm,2,0,-2,severe
AB259,KXFDAAPPROVE-MDMA-32JAN01,manipulation_susceptibility,human,2,0,-2,severe
AB260,will-lighter-reach-4-before-2027,manipulation_susceptibility,llm,3,2,-1,three_one_apart
AB261,will-any-ai-model-reach-a-chatbot-arena-score-of-at-least-1550-by-december-31,outcome_concentration,human,0,2,2,severe
AB262,ukraine-peace-referendum-passed-by-december-31-2026,predicate_ambiguity,human,2,0,-2,severe
AB263,will-china-unban-bitcoin-by-2027,manipulation_susceptibility,human,0,3,3,severe
AB264,will-waymo-operate-in-8-cities-on-june-30-2026,source_specification,llm,2,0,-2,severe
AB265,KXWCGROUPBOTTOM-26B-SUI,outcome_concentration,human,2,0,-2,severe
AB266,will-any-ai-model-reach-a-chatbot-arena-score-of-at-least-1550-by-december-31,governing_body_engagement,llm,3,1,-2,severe
AB267,will-kristi-noem-win-the-2028-republican-presidential-nomination,temporal_precision,llm,0,2,2,severe
AB268,KXGOVMINOMR-26-MR,source_specification,llm,2,0,-2,severe
AB269,sol-updown-5m-1768911600,governing_body_engagement,human,3,1,-2,severe
AB270,israel-x-hamas-ceasefire-cancelled-by-june-30,predicate_ambiguity,human,2,0,-2,severe
AB271,KXOSCARPIC-27-BLA,edge_case_coverage,human,2,0,-2,severe
AB272,KXLEADERNFLRUSHTDS-27-TETIENNE1,outcome_concentration,llm,2,0,-2,severe
AB273,standx-fdv-above-1b-one-day-after-launch-758-887-458-572-867,manipulation_susceptibility,human,3,2,-1,three_one_apart
AB274,israel-x-hezbollah-permanent-peace-deal-by-may-31-2026,governing_body_engagement,human,3,2,-1,three_one_apart
AB275,KXTONYAWARDS-26BO-TIE,governing_body_engagement,llm,2,0,-2,severe
AB276,will-rob-adkerson-be-the-republican-nominee-for-ga-11,outcome_concentration,human,3,2,-1,three_one_apart
AB277,will-carlos-felipe-crdoba-win-the-2026-colombian-presidential-election,outcome_concentration,llm,2,0,-2,severe
AB278,KXGOVMDNOMR-26-SHER,manipulation_susceptibility,human,0,2,2,severe
AB279,will-any-ai-model-reach-a-chatbot-arena-score-of-at-least-1550-by-december-31,source_quality,human,2,0,-2,severe
AB280,will-pittsburgh-pirates-win-the-2026-national-league-championship-series,edge_case_coverage,human,2,0,-2,severe
AB281,will-microstrategy-announce-bankruptcy-before-2027-666,outcome_concentration,human,1,3,2,severe
AB282,standx-fdv-above-1b-one-day-after-launch-758-887-458-572-867,outcome_concentration,human,3,2,-1,three_one_apart
AB283,meek-mill-gets-y-combinator-funding-by-june-30,outcome_concentration,human,3,2,-1,three_one_apart
AB284,will-edna-devries-win-the-2026-alaska-governor-election,outcome_concentration,human,2,0,-2,severe
