item,verdict,source,preferred,axis,stratum
AB138,B,gpt,human,temporal_precision,severe
AB139,B,gpt,llm,manipulation_susceptibility,severe
AB140,A,gpt,llm,headline_rules_alignment,severe
AB141,A,gpt,llm,governing_body_engagement,severe
AB142,B,gpt,llm,outcome_concentration,three_one_apart
AB143,B,gpt,llm,source_quality,severe
AB144,B,gpt,llm,source_quality,severe
AB145,B,gpt,llm,governing_body_engagement,three_one_apart
AB146,B,gpt,human,governing_body_engagement,three_one_apart
AB147,A,gpt,llm,edge_case_coverage,three_one_apart
AB148,B,gpt,llm,source_quality,severe
AB149,A,gpt,llm,governing_body_engagement,severe
AB150,B,gpt,llm,governing_body_engagement,three_one_apart
AB151,A,gpt,llm,manipulation_susceptibility,severe
AB152,A,gpt,llm,manipulation_susceptibility,severe
AB153,A,gpt,llm,manipulation_susceptibility,severe
AB154,B,gpt,llm,edge_case_coverage,severe
AB155,B,gpt,llm,outcome_concentration,severe
AB156,A,gpt,llm,governing_body_engagement,severe
AB157,A,gpt,llm,predicate_ambiguity,severe
AB158,A,gpt,human,governing_body_engagement,three_one_apart
AB159,A,gpt,llm,source_specification,severe
AB160,B,gpt,llm,source_specification,severe
AB161,B,gpt,human,headline_rules_alignment,severe
AB162,B,gpt,llm,source_quality,severe
AB163,B,gpt,llm,outcome_concentration,three_one_apart
AB164,B,gpt,llm,source_quality,severe
AB165,A,gpt,llm,manipulation_susceptibility,three_one_apart
AB166,B,gpt,llm,outcome_concentration,three_one_apart
AB167,B,gpt,llm,source_specification,severe
AB168,A,gpt,llm,source_specification,severe
AB169,B,gpt,llm,source_quality,severe
AB170,A,gpt,llm,headline_rules_alignment,severe
AB171,A,gpt,llm,predicate_ambiguity,severe
AB172,B,gpt,human,governing_body_engagement,severe
AB173,B,gpt,llm,source_quality,severe
AB174,B,gpt,human,manipulation_susceptibility,severe
AB175,B,gpt,llm,predicate_ambiguity,severe
AB176,A,gpt,llm,outcome_concentration,severe
AB177,A,gpt,llm,outcome_concentration,three_one_apart
AB178,A,gpt,llm,governing_body_engagement,severe
AB179,A,gpt,llm,source_specification,severe
AB180,A,gpt,llm,edge_case_coverage,three_one_apart
AB181,A,gpt,llm,outcome_concentration,three_one_apart
AB182,B,gpt,llm,source_quality,severe
AB183,A,gpt,llm,source_quality,severe
AB184,B,gpt,llm,manipulation_susceptibility,severe
AB185,A,gpt,human,governing_body_engagement,severe
AB186,A,gpt,llm,predicate_ambiguity,severe
AB187,A,gpt,llm,governing_body_engagement,three_one_apart
AB188,A,gpt,llm,source_quality,three_one_apart
AB189,A,gpt,human,manipulation_susceptibility,severe
AB190,B,gpt,human,edge_case_coverage,severe
AB191,B,gpt,human,governing_body_engagement,three_one_apart
AB192,A,gpt,llm,outcome_concentration,three_one_apart
AB193,A,gpt,llm,governing_body_engagement,severe
AB194,A,gpt,human,governing_body_engagement,severe
AB195,A,gpt,human,governing_body_engagement,severe
AB196,B,gpt,human,temporal_precision,severe
AB197,A,gpt,llm,governing_body_engagement,severe
AB198,B,gpt,llm,source_quality,severe
AB199,A,gpt,llm,governing_body_engagement,three_one_apart
AB200,B,gpt,llm,source_specification,severe
AB201,A,gpt,human,governing_body_engagement,severe
AB202,A,gpt,llm,outcome_concentration,three_one_apart
AB203,A,gpt,llm,edge_case_coverage,severe
AB204,B,gpt,llm,outcome_concentration,severe
AB205,A,gpt,llm,predicate_ambiguity,severe
AB206,B,gpt,llm,manipulation_susceptibility,severe
AB207,B,gpt,llm,outcome_concentration,severe
AB208,B,gpt,llm,source_quality,severe
AB209,A,gpt,human,governing_body_engagement,severe
AB210,B,gpt,llm,governing_body_engagement,three_one_apart
AB211,B,gpt,human,manipulation_susceptibility,severe
AB212,B,gpt,human,outcome_concentration,severe
AB213,B,gpt,llm,governing_body_engagement,severe
AB214,B,gpt,human,outcome_concentration,severe
AB215,B,gpt,llm,governing_body_engagement,three_one_apart
AB216,A,gpt,human,outcome_concentration,three_one_apart
AB217,B,gpt,llm,governing_body_engagement,severe
AB218,A,gpt,human,outcome_concentration,severe
AB219,B,gpt,human,governing_body_engagement,severe
AB220,B,gpt,human,edge_case_coverage,severe
AB221,A,gpt,llm,edge_case_coverage,severe
AB222,A,gpt,human,edge_case_coverage,severe
AB223,A,gpt,llm,source_quality,severe
AB224,B,gpt,human,temporal_precision,severe
AB225,A,gpt,llm,outcome_concentration,severe
AB226,B,gpt,llm,manipulation_susceptibility,three_one_apart
AB227,B,gpt,llm,manipulation_susceptibility,three_one_apart
AB228,B,gpt,human,source_specification,severe
AB229,A,gpt,human,manipulation_susceptibility,severe
AB230,A,gpt,human,edge_case_coverage,severe
AB231,B,gpt,llm,manipulation_susceptibility,severe
AB232,B,gpt,llm,outcome_concentration,three_one_apart
AB233,B,gpt,llm,outcome_concentration,severe
AB234,A,gpt,human,outcome_concentration,severe
AB235,B,gpt,human,source_quality,severe
AB236,B,gpt,human,manipulation_susceptibility,severe
AB237,A,gpt,llm,manipulation_susceptibility,three_one_apart
AB238,A,gpt,llm,source_quality,severe
AB239,A,gpt,llm,source_quality,severe
AB240,A,gpt,llm,outcome_concentration,severe
AB241,A,gpt,human,edge_case_coverage,severe
AB242,A,gpt,llm,source_specification,severe
AB243,A,gpt,llm,governing_body_engagement,severe
AB244,B,gpt,human,governing_body_engagement,three_one_apart
AB245,B,gpt,llm,outcome_concentration,severe
AB246,A,gpt,llm,source_specification,severe
AB247,A,gpt,human,governing_body_engagement,severe
AB248,A,gpt,human,governing_body_engagement,severe
AB249,A,gpt,llm,outcome_concentration,three_one_apart
AB250,A,gpt,llm,governing_body_engagement,three_one_apart
AB251,B,gpt,llm,manipulation_susceptibility,severe
AB252,A,gpt,llm,governing_body_engagement,three_one_apart
AB253,A,gpt,human,edge_case_coverage,severe
AB254,A,gpt,llm,governing_body_engagement,severe
AB255,A,gpt,human,governing_body_engagement,severe
AB256,B,gpt,llm,outcome_concentration,severe
AB257,A,gpt,llm,governing_body_engagement,severe
AB258,A,gpt,llm,source_quality,severe
AB259,B,gpt,llm,manipulation_susceptibility,severe
AB260,A,gpt,llm,manipulation_susceptibility,three_one_apart
AB261,B,gpt,llm,outcome_concentration,severe
AB262,A,gpt,human,predicate_ambiguity,severe
AB263,B,gpt,llm,manipulation_susceptibility,severe
AB264,A,gpt,llm,source_specification,severe
AB265,B,gpt,llm,outcome_concentration,severe
AB266,A,gpt,llm,governing_body_engagement,severe
AB267,B,gpt,human,temporal_precision,severe
AB268,A,gpt,llm,source_specification,severe
AB269,B,gpt,llm,governing_body_engagement,severe
AB270,A,gpt,human,predicate_ambiguity,severe
AB271,A,gpt,human,edge_case_coverage,severe
AB272,A,gpt,llm,outcome_concentration,severe
AB273,B,gpt,llm,manipulation_susceptibility,three_one_apart
AB274,B,gpt,llm,governing_body_engagement,three_one_apart
AB275,B,gpt,human,governing_body_engagement,severe
AB276,A,gpt,human,outcome_concentration,three_one_apart
AB277,A,gpt,llm,outcome_concentration,severe
AB278,A,gpt,human,manipulation_susceptibility,severe
AB279,A,gpt,human,source_quality,severe
AB280,A,gpt,human,edge_case_coverage,severe
AB281,B,gpt,llm,outcome_concentration,severe
AB282,B,gpt,llm,outcome_concentration,three_one_apart
AB283,B,gpt,llm,outcome_concentration,three_one_apart
AB284,B,gpt,llm,outcome_concentration,severe
AB285,B,gpt,llm,predicate_ambiguity,severe
AB286,B,gpt,llm,governing_body_engagement,three_one_apart
AB287,A,gpt,llm,governing_body_engagement,severe
AB288,B,gpt,human,governing_body_engagement,three_one_apart
AB289,A,gpt,human,outcome_concentration,three_one_apart
REC001,B,gpt,llm,predicate_ambiguity,severe
REC002,A,gpt,human,headline_rules_alignment,severe
REC003,B,gpt,llm,source_specification,severe
REC004,B,gpt,llm,edge_case_coverage,severe
